tsunami,significance,data_type,magnitude,state,longitude,latitude,depth,date,time
0,916,earthquake,7.6, Tonga,-174.66,-23.043,31.0,2009-03-19,18:17:40.470000+00:00
0,554,earthquake,6.0, Indonesia,139.543,-2.952,93.0,2009-03-28,17:59:31.750000+00:00
0,630,earthquake,6.4, Papua New Guinea,144.102,-3.522,10.0,2009-04-01,03:54:58.770000+00:00
0,613,earthquake,6.3,Philippine Islands region,127.201,5.149,48.0,2009-04-04,05:31:55.480000+00:00
0,1273,earthquake,6.3, Italy,13.334,42.334,8.8,2009-04-06,01:32:39+00:00
0,732,earthquake,6.9,Kuril Islands,151.548,46.049,31.0,2009-04-07,04:23:33.150000+00:00
0,612,earthquake,6.3, Indonesia,100.471,-3.115,22.0,2009-04-15,20:01:34.680000+00:00
0,691,earthquake,6.7,South Sandwich Islands region,-26.858,-60.203,20.0,2009-04-16,14:57:06.200000+00:00
0,579,earthquake,6.1, Chile,-70.483,-19.584,25.0,2009-04-17,02:08:08.710000+00:00
0,670,earthquake,6.6, Russia,151.427,46.015,35.0,2009-04-18,19:17:58.930000+00:00
0,572,earthquake,6.1, Philippines,126.678,4.136,25.0,2009-04-19,05:23:25.880000+00:00
0,591,earthquake,6.2, Russia,155.009,50.833,152.0,2009-04-21,05:26:11.520000+00:00
0,572,earthquake,6.1, New Zealand,-178.582,-30.3,131.7,2009-04-26,00:06:53.150000+00:00
0,717,earthquake,6.3, Guatemala,-91.143,14.546,108.0,2009-05-03,16:21:45.270000+00:00
0,572,earthquake,6.1,off the coast of Ecuador,-85.169,1.393,6.0,2009-05-10,01:16:06.960000+00:00
0,574,earthquake,6.1, Papua New Guinea,149.543,-5.664,89.0,2009-05-12,01:26:26.580000+00:00
0,654,earthquake,6.5,Kermadec Islands region,-178.833,-31.553,43.0,2009-05-16,00:53:51.250000+00:00
0,554,earthquake,6.0,Kermadec Islands region,-177.683,-31.475,4.0,2009-05-24,00:58:02.110000+00:00
0,1560,earthquake,7.3, Honduras,-86.217,16.731,19.0,2009-05-28,08:24:46.560000+00:00
0,622,earthquake,6.3, Vanuatu,167.949,-17.757,15.0,2009-06-02,02:17:03.510000+00:00
0,554,earthquake,6.0,Prince Edward Islands region,35.139,-45.833,16.0,2009-06-04,17:25:25.500000+00:00
