date,change,change_pct,effect,num,sum,max_mag,max_sig,min_depth,min_dist,tsunami
2012-05-08,-13.88037109375,-0.1756755462321714,0,0,,,,,,
2012-05-09,17.72998046875,0.2272340272677078,0,0,,,,,,
2012-05-10,-19.06005859375,-0.24213057037551236,0,0,,,,,,
2012-05-11,16.27001953125,0.20860042766812567,0,0,,,,,,
2012-05-14,-33.990234375,-0.43918264785648625,0,1,6.2,6.2,647.0,105.9,6481.61860325576,0.0
2012-05-15,-60.19970703125,-0.7822197328820714,0,0,,,,,,
2012-05-16,-63.9501953125,-0.8352111288359559,0,0,,,,,,
2012-05-17,-107.80029296875,-1.4206268389243066,0,0,,,,,,
2012-05-18,-76.01953125,-1.0130858879337832,0,1,6.3,6.3,612.0,10.0,9494.435690950433,0.0
2012-05-21,99.10986328125,1.3314292393738922,0,1,6.3,6.3,612.0,11.0,10344.718065304774,0.0
2012-05-22,-12.7197265625,-0.16835502086374332,0,0,,,,,,
2012-05-23,47.98974609375,0.6404687243409786,0,0,,,,,,
2012-05-24,-6.4501953125,-0.0853337012824344,0,1,6.0,6.0,554.0,10.0,17222.539190430405,0.0
2012-05-25,-9.0,-0.11931070106688313,0,1,6.1,6.1,572.0,10.0,5395.401068190595,0.0
2012-05-29,31.6298828125,0.4170936943827051,0,2,12.7,6.7,691.0,487.4,7695.847058835986,0.0
2012-05-30,-71.9599609375,-0.9539510541950796,0,0,,,,,,
2012-05-31,-13.72998046875,-0.18361259394726853,0,0,,,,,,
2012-06-01,-76.18017578125,-1.0338753430634258,0,0,,,,,,
2012-06-04,-17.26025390625,-0.2363515014662231,0,2,12.6,6.3,629.0,7.0,3995.578061345777,0.0
2012-06-05,68.22021484375,0.9383282317353401,0,1,6.1,6.1,607.0,15.0,10892.04031629015,0.0
2012-06-06,127.5400390625,1.7258649675616515,0,0,,,,,,
2012-06-07,-64.23974609375,-0.8470352671148761,0,2,12.1,6.1,599.0,8.0,6268.666631093153,0.0
2012-06-08,73.76025390625,0.9860983637377229,0,0,,,,,,
2012-06-11,-150.0498046875,-1.9719161946846777,0,1,6.0,6.0,698.0,35.0,8403.464071278391,0.0
2012-06-12,98.5400390625,1.3210395896208615,0,0,,,,,,
2012-06-13,-27.18017578125,-0.3607860176930007,0,0,,,,,,
2012-06-14,66.8798828125,0.8898405699605234,0,0,,,,,,
2012-06-15,51.2197265625,0.67278940212703,0,0,,,,,,
2012-06-18,31.490234375,0.41267278897365334,0,1,6.3,6.3,675.0,36.0,10468.577721620528,0.0
2012-06-19,62.1396484375,0.8065768380073619,0,1,6.0,6.0,554.0,14.0,7843.820342980968,0.0
2012-06-20,-12.35009765625,-0.15894039235711185,0,0,,,,,,
2012-06-21,-188.2099609375,-2.427162732567098,0,0,,,,,,
2012-06-22,6.72998046875,0.08843763997840744,0,0,,,,,,
2012-06-25,-48.33984375,-0.641094133988674,0,2,12.1,6.1,676.0,10.0,7883.1299325070695,0.0
2012-06-26,24.58984375,0.3277557581792504,0,0,,,,,,
2012-06-27,51.25,0.6790957932681265,0,0,,,,,,
2012-06-28,53.330078125,0.706904519347644,0,0,,,,,,
2012-06-29,71.81982421875,0.9291026936189639,0,0,,,,,,
2012-07-02,21.31982421875,0.2729520935099878,0,1,6.3,6.3,636.0,18.0,10440.329075002572,0.0
2012-07-03,63.009765625,0.8038333639807106,0,1,6.3,6.3,922.0,229.8,14422.608638773127,0.0
2012-07-05,-17.31982421875,-0.2204917392832971,0,0,,,,,,
2012-07-06,-11.9599609375,-0.15395318840045,0,1,6.3,6.3,614.0,160.1,13474.91075875016,0.0
2012-07-09,-5.6201171875,-0.07259238768850765,0,1,6.0,6.0,554.0,20.0,9449.636087897401,0.0
2012-07-10,-86.17041015625,-1.1113399153382377,0,0,,,,,,
2012-07-11,17.65966796875,0.2303136499125538,0,0,,,,,,
2012-07-12,5.009765625,0.06562747962014098,0,0,,,,,,
2012-07-13,104.27978515625,1.362418505440966,0,0,,,,,,
2012-07-16,1.4599609375,0.018858743282361114,0,0,,,,,,
2012-07-17,31.6201171875,0.4073104034478796,0,0,,,,,,
2012-07-18,62.599609375,0.8058143537080258,0,0,,,,,,
2012-07-19,6.22021484375,0.07930377029384976,0,0,,,,,,
2012-07-20,-35.77001953125,-0.4588629666699384,0,1,6.0,6.0,554.0,19.0,8894.433213065327,0.0
2012-07-23,0.10986328125,0.0014322962171911067,0,0,,,,,,
2012-07-24,-76.490234375,-0.9976423080531092,1,0,,,,,,
2012-07-25,-10.51025390625,-0.13796460260938653,0,2,12.8,6.4,673.0,20.0,13742.31892764535,0.0
2012-07-26,62.759765625,0.8159361084928657,0,1,6.7,6.7,691.0,20.0,15445.30889478793,0.0
2012-07-27,119.2001953125,1.5295881912648774,0,0,,,,,,
2012-07-30,13.0,0.1645977981335114,0,1,6.5,6.5,653.0,41.0,13856.33918986021,0.0
2012-07-31,-30.77001953125,-0.38975538994526715,0,0,,,,,,
2012-08-01,-50.009765625,-0.6337297165652814,0,0,,,,,,
2012-08-02,-25.89013671875,-0.3322873537661155,0,2,12.2,6.1,596.0,46.0,5441.1975606277765,0.0
2012-08-03,91.22998046875,1.1624141537559138,0,0,,,,,,
2012-08-06,5.65966796875,0.07111538134710607,1,0,,,,,,
2012-08-07,19.98974609375,0.2499430532297076,0,0,,,,,,
2012-08-08,28.56005859375,0.3574618503544459,0,0,,,,,,
2012-08-09,17.0,0.2122877122877123,0,0,,,,,,
2012-08-10,50.51953125,0.631949125481212,0,1,6.2,6.2,591.0,13.0,6758.933111141079,0.0
2012-08-13,-16.65966796875,-0.2073310066045247,0,3,18.8,6.4,747.0,11.0,9378.079012855733,0.0
2012-08-14,-22.96044921875,-0.28548930181615956,0,1,7.7,7.7,941.0,583.2,9277.03059233245,0.0
2012-08-15,19.86962890625,0.24808691778478922,0,0,,,,,,
2012-08-16,58.60009765625,0.7296382899933592,0,0,,,,,,
2012-08-17,3.0498046875,0.03765646559886531,0,0,,,,,,
2012-08-20,5.7802734375,0.07146242005149303,0,2,12.5,6.3,612.0,10.0,14483.477062400341,0.0
2012-08-21,-34.31982421875,-0.4228141458512997,1,0,,,,,,
2012-08-22,13.0,0.16126630880051035,0,0,,,,,,
2012-08-23,-52.35986328125,-0.6493199800274447,0,0,,,,,,
2012-08-24,54.43994140625,0.681058571965686,0,0,,,,,,
2012-08-27,-20.169921875,-0.2503586769270006,0,2,13.899999999999999,7.3,994.0,28.0,3477.60483256528,0.0
2012-08-28,7.68017578125,0.09568917498641528,0,0,,,,,,
2012-08-29,-3.330078125,-0.04144475945297536,0,0,,,,,,
2012-08-30,-37.2900390625,-0.4659204821316109,0,1,6.8,6.8,711.0,14.0,4834.436060296579,0.0
2012-08-31,1.93994140625,0.024209955952870472,0,0,,,,,,
2012-09-04,-10.56005859375,-0.13178871539548376,0,1,6.1,6.1,584.0,14.0,16589.987714889907,0.0
2012-09-05,-9.05029296875,-0.11311367371913793,0,2,13.6,7.6,1555.0,27.0,3575.727884224641,0.0
2012-09-06,122.5302734375,1.5243819283150137,0,0,,,,,,
2012-09-07,42.69970703125,0.5212487438774924,0,0,,,,,,
2012-09-10,-29.310546875,-0.3565022583979776,0,1,6.1,6.1,572.0,21.0,14934.94379506389,0.0
2012-09-11,36.8798828125,0.44924736048588426,0,0,,,,,,
2012-09-12,-4.7802734375,-0.05778797773952792,0,0,,,,,,
2012-09-13,144.1298828125,1.7443013469704687,0,0,,,,,,
2012-09-14,16.7197265625,0.19805056518617864,0,1,6.2,6.2,593.0,19.0,15824.478035421262,0.0
2012-09-17,-33.5302734375,-0.3971609383801941,0,0,,,,,,
2012-09-18,-1.1201171875,-0.013352930048458214,0,0,,,,,,
2012-09-19,2.6904296875,0.032037353577374625,0,0,,,,,,
2012-09-20,27.580078125,0.3304851679539151,0,0,,,,,,
2012-09-21,-34.0703125,-0.40504057719907616,0,0,,,,,,
2012-09-24,14.6796875,0.17597577172318,0,0,,,,,,
2012-09-25,-101.9296875,-1.2168224514794146,1,0,,,,,,
2012-09-26,-31.599609375,-0.38289005193474374,0,1,6.3,6.3,757.0,10.0,3799.29139708131,0.0
2012-09-27,53.759765625,0.6516350654239238,0,1,6.4,6.4,632.0,16.0,7443.931943812335,0.0
2012-09-28,-52.6904296875,-0.6345423174630914,0,0,,,,,,
2012-10-01,8.2705078125,0.09993255231207748,0,1,7.3,7.3,1221.0,170.0,4304.309722799836,0.0
2012-10-02,10.8408203125,0.1308603042381245,0,1,6.1,6.1,576.0,15.0,10331.26398356744,0.0
2012-10-03,-2.83984375,-0.03421358406352903,0,0,,,,,,
2012-10-04,48.310546875,0.5800964646362782,0,0,,,,,,
2012-10-05,-26.6298828125,-0.3166190946544679,0,0,,,,,,
2012-10-08,11.1298828125,0.1333242555389753,0,1,6.1,6.1,572.0,10.0,15378.968219586506,0.0
2012-10-09,-68.58984375,-0.8216615612107798,0,1,6.6,6.6,670.0,10.0,16117.799598502017,0.0
2012-10-10,-42.6201171875,-0.5152466030476087,0,0,,,,,,
2012-10-11,-25.240234375,-0.30476638782613574,0,0,,,,,,
2012-10-12,-29.3095703125,-0.3549925761806404,0,1,6.6,6.6,675.0,13.0,15159.191508977738,0.0
2012-10-15,48.8896484375,0.5929891935794703,0,0,,,,,,
2012-10-16,92.9697265625,1.1209950752095015,0,0,,,,,,
2012-10-17,45.5498046875,0.5421976166925678,0,1,6.0,6.0,554.0,326.0,14685.010113019738,0.0
2012-10-18,15.0302734375,0.17834181164736224,0,0,,,,,,
2012-10-19,-99.810546875,-1.184842556767958,0,0,,,,,,
2012-10-22,8.3994140625,0.10094502902947124,0,1,6.2,6.2,593.0,36.0,13462.297468155419,0.0
2012-10-23,-57.5703125,-0.6975784613065349,0,0,,,,,,
2012-10-24,-40.6298828125,-0.494287448496626,0,1,6.5,6.5,745.0,17.0,3575.0972557692858,0.0
2012-10-25,-19.580078125,-0.2378679627564021,0,0,,,,,,
2012-10-26,-12.609375,-0.1537201966218463,0,0,,,,,,
2012-10-31,31.2001953125,0.38094545393843754,0,3,20.3,7.8,1436.0,9.0,4497.837747357459,0.0
2012-11-01,79.6904296875,0.9680955437210753,0,0,,,,,,
2012-11-02,-100.5,-1.2056995170734794,0,1,6.1,6.1,605.0,37.0,14104.473139046371,0.0
2012-11-05,22.66015625,0.27575185280431697,0,0,,,,,,
2012-11-06,72.099609375,0.8749687130244835,0,0,,,,,,
2012-11-07,-103.310546875,-1.2534477514659201,0,1,7.4,7.4,1455.0,24.0,3439.5414136933614,0.0
2012-11-08,-86.39013671875,-1.0616664467450307,0,1,6.1,6.1,585.0,13.7,4306.319050693786,0.0
2012-11-09,32.58984375,0.4063080011154842,0,0,,,,,,
2012-11-12,-12.5,-0.154961110209189,0,4,25.6,6.8,795.0,9.0,3439.019812449963,0.0
2012-11-13,6.02001953125,0.07508870992005358,0,1,6.1,6.1,572.0,9.0,9585.208992353313,0.0
2012-11-14,-122.58984375,-1.527407109259276,0,1,6.1,6.1,629.0,63.0,7738.198568636149,0.0
2012-11-15,-8.39990234375,-0.10625686341326594,0,1,6.1,6.1,823.0,53.0,3540.3327794625557,0.0
2012-11-16,29.94970703125,0.37903344463273453,0,1,6.5,6.5,650.0,29.0,8926.396586169614,0.0
2012-11-19,78.0400390625,0.9752262059108375,0,1,6.0,6.0,554.0,13.0,14059.729252914909,0.0
2012-11-20,15.05029296875,0.1864653939817225,0,0,,,,,,
2012-11-21,17.0400390625,0.21049714735892067,0,0,,,,,,
2012-11-23,75.1298828125,0.9217960867190216,0,0,,,,,,
2012-11-26,4.560546875,0.055663876956847505,0,0,,,,,,
2012-11-27,-36.68994140625,-0.44812361319992144,0,0,,,,,,
2012-11-28,93.650390625,1.1542240365488632,0,0,,,,,,
2012-11-29,19.1806640625,0.23286294804421087,0,0,,,,,,
2012-11-30,6.1796875,0.07486673531816943,0,0,,,,,,
2012-12-03,-36.8896484375,-0.4465826819314598,0,1,6.1,6.1,575.0,32.0,13608.72064833551,0.0
2012-12-04,-0.7900390625,-0.0096057350393942,0,0,,,,,,
2012-12-05,30.2001953125,0.3667475863443004,0,0,,,,,,
2012-12-06,15.8701171875,0.1920145529804083,0,0,,,,,,
2012-12-07,19.7001953125,0.23750628409156466,0,3,19.8,7.3,1014.0,31.0,10486.14312968724,0.0
2012-12-10,11.6298828125,0.13993277727611078,0,1,7.1,7.1,843.0,155.0,15546.396085822218,0.0
2012-12-11,23.75,0.2846793465251152,0,1,6.0,6.0,554.0,30.0,15003.611419827666,0.0
2012-12-12,-7.3798828125,-0.08797871094482174,0,0,,,,,,
2012-12-13,-39.5498046875,-0.47207469361887294,0,0,,,,,,
2012-12-14,2.75,0.03300924258792462,0,1,6.3,6.3,1091.0,13.0,4213.201099535897,0.0
2012-12-17,60.3896484375,0.723522187300038,0,3,18.2,6.1,572.0,26.0,7803.920369732658,0.0
2012-12-18,78.26953125,0.9294476542660682,0,0,,,,,,
2012-12-19,-35.529296875,-0.4180237136711058,0,0,,,,,,
2012-12-20,52.609375,0.6215795356891327,0,0,,,,,,
2012-12-21,0.80078125,0.009485288895294671,0,0,,,,,,
2012-12-24,-7.0703125,-0.08389453252147219,0,1,6.7,6.7,691.0,200.7,13457.599505896345,0.0
2012-12-26,-35.7294921875,-0.42377607684608765,0,0,,,,,,
2012-12-27,-7.25,-0.0862368376728599,0,0,,,,,,
2012-12-28,-43.1494140625,-0.5161839467668731,0,0,,,,,,
2012-12-31,141.4296875,1.7035452099847905,0,0,,,,,,
2013-01-02,60.4794921875,0.7055857035810887,0,0,,,,,,
2013-01-03,-7.8701171875,-0.0913466530105744,0,0,,,,,,
2013-01-04,56.169921875,0.6522656700595791,0,0,,,,,,
2013-01-07,-0.189453125,-0.002193480839266473,0,1,7.5,7.5,1425.0,8.7,4654.861568862363,0.0
2013-01-08,-14.759765625,-0.1712440710677624,0,0,,,,,,
2013-01-09,12.1298828125,0.14065312375968822,0,0,,,,,,
2013-01-10,37.1201171875,0.42781722499228747,0,0,,,,,,
2013-01-11,-2.2998046875,-0.026389946136495077,0,0,,,,,,
2013-01-14,2.25,0.02581699181621529,0,0,,,,,,
2013-01-15,43.849609375,0.504642050522197,0,1,6.1,6.1,572.0,10.0,13802.495864841521,0.0
2013-01-16,9.3994140625,0.10802483684602045,0,0,,,,,,
2013-01-17,31.23046875,0.35751988522694966,0,0,,,,,,
2013-01-18,24.83984375,0.2833079218290224,0,0,,,,,,
2013-01-22,47.9404296875,0.5457196232176792,0,1,6.1,6.1,576.0,12.0,14844.25171270366,0.0
2013-01-23,4.419921875,0.05008841279934909,0,0,,,,,,
2013-01-24,22.3798828125,0.2533320230270485,0,0,,,,,,
2013-01-25,22.080078125,0.24858093926214447,0,0,,,,,,
2013-01-28,-31.650390625,-0.3551570646778163,0,1,6.1,6.1,598.0,15.0,10403.04863814226,0.0
2013-01-29,52.109375,0.5865840875874696,0,0,,,,,,
2013-01-30,-26.4599609375,-0.29627862240664626,0,1,6.8,6.8,771.0,45.0,7627.062039551696,0.0
2013-01-31,-2.1396484375,-0.024049506639354214,0,1,6.1,6.1,572.0,10.0,13269.484623284246,0.0
2013-02-01,33.66015625,0.37687182607564224,0,1,6.0,6.0,554.0,15.0,13372.932843292761,0.0
2013-02-04,-57.2099609375,-0.6420871036756454,0,4,25.6,6.9,814.0,6.0,10038.785946978343,0.0
2013-02-05,36.240234375,0.40793206364707535,0,0,,,,,,
2013-02-06,43.33984375,0.48746293227736137,0,7,46.2,8.0,993.0,8.8,13324.383667331154,1.0
2013-02-07,-34.759765625,-0.389312489499916,0,2,12.7,6.7,691.0,8.0,13355.024693518335,1.0
2013-02-08,29.6103515625,0.33249062022478565,0,2,13.899999999999999,7.1,780.0,12.0,13317.569045143851,2.0
2013-02-11,-3.6005859375,-0.0403534599726402,0,3,19.5,6.9,904.0,11.0,4399.023793214894,2.0
2013-02-12,38.5908203125,0.43268007405172143,0,0,,,,,,
2013-02-13,-6.470703125,-0.07220098592592915,0,0,,,,,,
2013-02-14,25.5400390625,0.28608179731958433,0,1,6.6,6.6,670.0,11.0,7604.6845411895465,1.0
2013-02-15,-16.6298828125,-0.18581186878358422,0,0,,,,,,
2013-02-19,57.08984375,0.6380678528296388,0,1,6.1,6.1,582.0,105.0,14475.369968370514,0.0
2013-02-20,-108.3798828125,-1.2052909820763182,0,0,,,,,,
2013-02-21,-42.3798828125,-0.47872430788116316,0,0,,,,,,
